ID	Name	Description	Disease	Individual_id	_INFO	Gender	#Sequencing_Panel	Sample_ID(Aliases)	Region	Country	Town	Contributor	Latitude	Longitude	DNA_Source	Embargo	"SGDP-lite category: X=FullyPublic, Y=SignedLetterNoDelay, Z=SignedLetterDelay, DO_NOT_USE=do.not.use"
IHW9118	B_Australian-3	Australian		SS6004478		U	B	IHW9118	Oceania	Australia	Cell_line_repository_sampling_location_unknown	ECCAC	-13	143	Genomic_from_cell_lines	FullyPublic	X
IHW9193	B_Australian-4	Australian		SS6004477		M	B	IHW9193	Oceania	Australia	Cell_line_repository_sampling_location_unknown	ECCAC	-13	143	Genomic_from_cell_lines	FullyPublic	X
AV-21	B_Crete-1	Crete		LP6007069-DNA_A01		F	B	AV-21	WestEurasia	Greece	"Preveliana, Irakleioy"	George Stamatoyannopoulos	35.166668	25.166666	Genomic_from_blood	FullyPublic	X
TZ-11	B_Crete-2	Crete		LP6007068-DNA_A01		M	B	TZ-11	WestEurasia	Greece	"Psychro ,Lassithi"	George Stamatoyannopoulos	35.163	25.445	Genomic_from_blood	FullyPublic	X
HGDP01308	B_Dai-4	Dai		SS6004467		M	B	HGDP01308	EastAsia	China	?	Howard Cann	21	100	Genomic_from_cell_lines	FullyPublic	X
DNK07	B_Dinka-3	Dinka		SS6004480		M	B	DNK07	Africa	Sudan	Aweil	Michael Hammer	8.783333333	27.4	Genomic_from_saliva	FullyPublic	X
HGDP00533	B_French-3	French		SS6004468		M	B	HGDP00533	WestEurasia	France	?	Howard Cann	46	2	Genomic_from_cell_lines	FullyPublic	X
HGDP00775	B_Han-3	Han		SS6004469		M	B	HGDP00775	EastAsia	China	?	Howard Cann	32.26566812	114	Genomic_from_cell_lines	FullyPublic	X
HGDP01036	B_Ju_hoan_North-4	Ju_hoan_North		SS6004473		M	B	HGDP01036	Africa	Namibia	?	Howard Cann	-18.93725689	21.45244764	Genomic_from_cell_lines	FullyPublic	X
HGDP01015	B_Karitiana-3	Karitiana		SS6004476		M	B	HGDP01015	America	Brazil	?	Howard Cann	-10	-63	Genomic_from_cell_lines	FullyPublic	X
